home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season,match_id,result
Stellenbosch,Orlando Pirates,0,0,FINISHED,2025-03-11,1557357,Matchday 22,2024-2025,1557357,D
Mamelodi Sundowns,AmaZulu,2,0,FINISHED,2025-03-11,1557358,Matchday 22,2024-2025,1557358,H
TS Galaxy,Siwelele,3,1,FINISHED,2025-03-11,1557359,Matchday 22,2024-2025,1557359,H
Magesi,Richards Bay,1,0,FINISHED,2025-03-11,1557355,Matchday 22,2024-2025,1557355,H
Kaizer Chiefs,Cape Town City,0,0,FINISHED,2025-03-12,1557354,Matchday 22,2024-2025,1557354,D
Polokwane City,Golden Arrows,0,1,FINISHED,2025-03-12,1557352,Matchday 22,2024-2025,1557352,A
Marumo Gallants,Sekhukhune United,1,2,FINISHED,2025-03-12,1557353,Matchday 22,2024-2025,1557353,A
Royal AM,Siwelele,,,UPCOMING,2025-03-14,1557351,Matchday 23,2024-2025,1557351,
AmaZulu,TS Galaxy,1,2,FINISHED,2025-03-14,1557350,Matchday 23,2024-2025,1557350,A
Magesi,Golden Arrows,1,0,FINISHED,2025-03-15,1557349,Matchday 23,2024-2025,1557349,H
Cape Town City,Marumo Gallants,0,1,FINISHED,2025-03-15,1557364,Matchday 23,2024-2025,1557364,A
Chippa United,Polokwane City,2,0,FINISHED,2025-03-15,1557319,Matchday 23,2024-2025,1557319,H
Richards Bay,Kaizer Chiefs,2,0,FINISHED,2025-03-16,1557285,Matchday 23,2024-2025,1557285,H
Orlando Pirates,Mamelodi Sundowns,2,1,FINISHED,2025-03-16,1557272,Matchday 23,2024-2025,1557272,H
Sekhukhune United,Stellenbosch,1,2,FINISHED,2025-03-16,1557284,Matchday 23,2024-2025,1557284,A
Stellenbosch,Magesi,2,1,FINISHED,2025-02-25,1557280,Matchday 24,2024-2025,1557280,H
Sekhukhune United,Mamelodi Sundowns,2,4,FINISHED,2025-02-26,1557281,Matchday 24,2024-2025,1557281,A
Golden Arrows,Kaizer Chiefs,2,1,FINISHED,2025-03-29,1557278,Matchday 24,2024-2025,1557278,H
Chippa United,AmaZulu,2,1,FINISHED,2025-03-29,1557283,Matchday 24,2024-2025,1557283,H
Orlando Pirates,Royal AM,,,UPCOMING,2025-03-29,1557282,Matchday 24,2024-2025,1557282,
Polokwane City,Richards Bay,3,1,FINISHED,2025-03-30,1557279,Matchday 24,2024-2025,1557279,H
TS Galaxy,Marumo Gallants,1,2,FINISHED,2025-03-30,1557276,Matchday 24,2024-2025,1557276,A
Siwelele,Cape Town City,0,0,FINISHED,2025-03-30,1557277,Matchday 24,2024-2025,1557277,D
AmaZulu,Richards Bay,1,0,FINISHED,2025-04-04,1557275,Matchday 25,2024-2025,1557275,H
Polokwane City,Orlando Pirates,0,1,FINISHED,2025-04-05,1557269,Matchday 25,2024-2025,1557269,A
Golden Arrows,Chippa United,0,0,FINISHED,2025-04-05,1557288,Matchday 25,2024-2025,1557288,D
Marumo Gallants,Siwelele,1,1,FINISHED,2025-04-05,1557273,Matchday 25,2024-2025,1557273,D
Kaizer Chiefs,TS Galaxy,1,1,FINISHED,2025-04-05,1557287,Matchday 25,2024-2025,1557287,D
Royal AM,Magesi,,,UPCOMING,2025-04-05,1557270,Matchday 25,2024-2025,1557270,
Cape Town City,Sekhukhune United,1,2,FINISHED,2025-04-06,1557268,Matchday 25,2024-2025,1557268,A
Mamelodi Sundowns,Stellenbosch,3,0,FINISHED,2025-05-11,1557271,Matchday 25,2024-2025,1557271,H
Stellenbosch,AmaZulu,1,0,FINISHED,2025-04-15,1557262,Matchday 26,2024-2025,1557262,H
Royal AM,Mamelodi Sundowns,,,UPCOMING,2025-04-18,1557267,Matchday 26,2024-2025,1557267,
Richards Bay,Cape Town City,1,0,FINISHED,2025-04-18,1557266,Matchday 26,2024-2025,1557266,H
Marumo Gallants,Golden Arrows,1,1,FINISHED,2025-04-19,1557265,Matchday 26,2024-2025,1557265,D
Chippa United,Kaizer Chiefs,0,0,FINISHED,2025-04-19,1557264,Matchday 26,2024-2025,1557264,D
Sekhukhune United,Polokwane City,2,0,FINISHED,2025-04-19,1557263,Matchday 26,2024-2025,1557263,H
Magesi,TS Galaxy,2,1,FINISHED,2025-04-20,1557261,Matchday 26,2024-2025,1557261,H
Siwelele,Orlando Pirates,0,1,FINISHED,2025-05-20,1557260,Matchday 26,2024-2025,1557260,A
Kaizer Chiefs,Marumo Gallants,1,2,FINISHED,2025-04-26,1557274,Matchday 27,2024-2025,1557274,A
Golden Arrows,AmaZulu,0,1,FINISHED,2025-04-26,1557313,Matchday 27,2024-2025,1557313,A
Polokwane City,Siwelele,1,1,FINISHED,2025-04-26,1557302,Matchday 27,2024-2025,1557302,D
Cape Town City,Royal AM,,,UPCOMING,2025-04-26,1557316,Matchday 27,2024-2025,1557316,
TS Galaxy,Sekhukhune United,1,1,FINISHED,2025-04-27,1557312,Matchday 27,2024-2025,1557312,D
Mamelodi Sundowns,Richards Bay,3,0,FINISHED,2025-04-30,1557315,Matchday 27,2024-2025,1557315,H
Stellenbosch,Chippa United,1,0,FINISHED,2025-04-30,1557154,Matchday 27,2024-2025,1557154,H
Orlando Pirates,Magesi,1,1,FINISHED,2025-05-28,1557259,Matchday 27,2024-2025,1557259,D
Royal AM,Marumo Gallants,,,UPCOMING,2025-05-02,1557311,Matchday 28,2024-2025,1557311,
AmaZulu,Polokwane City,1,1,FINISHED,2025-05-02,1557310,Matchday 28,2024-2025,1557310,D
Golden Arrows,Stellenbosch,0,3,FINISHED,2025-05-03,1557305,Matchday 28,2024-2025,1557305,A
Kaizer Chiefs,Orlando Pirates,1,2,FINISHED,2025-05-03,1557309,Matchday 28,2024-2025,1557309,A
Magesi,Sekhukhune United,1,1,FINISHED,2025-05-03,1557307,Matchday 28,2024-2025,1557307,D
Siwelele,Chippa United,2,0,FINISHED,2025-05-03,1557308,Matchday 28,2024-2025,1557308,H
Cape Town City,Mamelodi Sundowns,0,2,FINISHED,2025-05-03,1557286,Matchday 28,2024-2025,1557286,A
TS Galaxy,Richards Bay,0,1,FINISHED,2025-05-04,1557306,Matchday 28,2024-2025,1557306,A
Polokwane City,Cape Town City,0,2,FINISHED,2025-05-17,1557299,Matchday 29,2024-2025,1557299,A
