home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season
Marumo Gallants,Mamelodi Sundowns,1,3,FINISHED,19/02/2025,1557325,Matchday 18,2024-2025
Golden Arrows,Orlando Pirates,1,2,FINISHED,06/05/2025,1557324,Matchday 18,2024-2025
Royal AM,Kaizer Chiefs,,,UPCOMING,21/02/2025,1557322,Matchday 19,2024-2025
Stellenbosch,Richards Bay,1,1,FINISHED,21/02/2025,1557323,Matchday 19,2024-2025
Orlando Pirates,Cape Town City,2,1,FINISHED,22/02/2025,1557321,Matchday 19,2024-2025
Chippa United FC,Sekhukhune United,0,1,FINISHED,22/02/2025,1557320,Matchday 19,2024-2025
Mamelodi Sundowns,TS Galaxy,4,1,FINISHED,22/02/2025,1557256,Matchday 19,2024-2025
AmaZulu FC,Magesi,3,0,FINISHED,22/02/2025,1557334,Matchday 19,2024-2025
Marumo Gallants,Polokwane City,0,0,FINISHED,23/02/2025,1557362,Matchday 19,2024-2025
Siwelele FC,Golden Arrows,1,1,FINISHED,29/05/2025,1557376,Matchday 19,2024-2025
Orlando Pirates,Marumo Gallants,8,1,FINISHED,24/12/2024,1557375,Matchday 20,2024-2025
Stellenbosch,Polokwane City,1,1,FINISHED,28/02/2025,1557374,Matchday 20,2024-2025
Magesi,Siwelele FC,1,0,FINISHED,01/03/2025,1557373,Matchday 20,2024-2025
Mamelodi Sundowns,Kaizer Chiefs,1,0,FINISHED,01/03/2025,1557372,Matchday 20,2024-2025
TS Galaxy,Golden Arrows,2,0,FINISHED,01/03/2025,1557371,Matchday 20,2024-2025
Richards Bay,Chippa United FC,0,0,FINISHED,01/03/2025,1557370,Matchday 20,2024-2025
AmaZulu FC,Cape Town City,2,0,FINISHED,02/03/2025,1557368,Matchday 20,2024-2025
Sekhukhune United,Royal AM,,,UPCOMING,02/03/2025,1557369,Matchday 20,2024-2025
Kaizer Chiefs,Magesi,1,0,FINISHED,04/03/2025,1557366,Matchday 21,2024-2025
Marumo Gallants,Stellenbosch,0,1,FINISHED,04/03/2025,1557367,Matchday 21,2024-2025
Polokwane City,Royal AM,,,UPCOMING,05/03/2025,1557363,Matchday 21,2024-2025
Richards Bay,Sekhukhune United,2,1,FINISHED,05/03/2025,1557317,Matchday 21,2024-2025
Chippa United FC,Orlando Pirates,0,1,FINISHED,05/03/2025,1557361,Matchday 21,2024-2025
Siwelele FC,AmaZulu FC,0,0,FINISHED,05/03/2025,1557365,Matchday 21,2024-2025
Cape Town City,TS Galaxy,1,1,FINISHED,05/03/2025,1557360,Matchday 21,2024-2025
Golden Arrows,Mamelodi Sundowns,1,1,FINISHED,05/03/2025,1557346,Matchday 21,2024-2025
Royal AM,Chippa United FC,,,UPCOMING,11/03/2025,1557356,Matchday 22,2024-2025
Stellenbosch,Orlando Pirates,0,0,FINISHED,11/03/2025,1557357,Matchday 22,2024-2025
Mamelodi Sundowns,AmaZulu FC,2,0,FINISHED,11/03/2025,1557358,Matchday 22,2024-2025
TS Galaxy,Siwelele FC,3,1,FINISHED,11/03/2025,1557359,Matchday 22,2024-2025
Magesi,Richards Bay,1,0,FINISHED,11/03/2025,1557355,Matchday 22,2024-2025
Kaizer Chiefs,Cape Town City,0,0,FINISHED,12/03/2025,1557354,Matchday 22,2024-2025
Polokwane City,Golden Arrows,0,1,FINISHED,12/03/2025,1557352,Matchday 22,2024-2025
